Episode,Timestep,Action
456,2,"[[ 1.0529305   1.0187039  -2.0619004  -0.03629183 -1.2688181  -3.8836577
  -0.49029985  2.0901976   1.7383142  -0.4862353  -0.48007703  0.9709808
  -0.54785496  1.4241066  -2.6932132   0.9940064   0.06698138 -1.6050966
  -0.6400399  -1.4316585  -0.13495404  0.20760465  0.33779752  0.9688435 ]]"
457,2,"[[ 1.2682452   1.1311183  -1.3596609   0.91859126  0.290509   -4.693381
  -0.2308667   1.0130829   0.97810674 -0.49049854 -0.703876    0.5438631
  -1.5496986   1.6183913  -1.5757055   2.6869173  -0.53689384 -0.94112736
  -0.2942012  -0.66603494 -0.4632802   0.6032417  -1.1553239   1.8538263 ]]"
458,2,"[[ 1.1628565   0.87267715 -1.9666933   0.8439658  -0.416763   -5.483918
  -0.3949451   1.7114227   0.92024314 -0.04407844  0.23567283  1.531452
  -0.2189936   1.9462194  -0.44411588  1.6059715  -0.33586705 -1.704215
  -0.98404807 -1.6996279  -0.860573    0.31737617 -0.47173762  0.9116524 ]]"
459,2,"[[ 1.0225338   0.44266748 -1.904983    0.36066183 -0.19074064 -3.9385438
  -0.4381891   0.7681966   1.4485737  -0.6186801  -0.8186077   0.13328421
  -0.26897717  1.3518095  -1.9530355   1.5049648  -0.76793087 -1.0282221
  -0.30257913 -0.7665266  -1.0179348   0.46294573 -1.3398763   1.242414  ]]"
460,2,"[[ 0.8189535   0.62772346 -3.6708214   0.18118787 -0.42431808 -4.0562315
  -0.2194311   1.2063128   1.4506269  -0.5635372  -0.39337593  1.2626717
  -1.3431779   1.5110936   0.24146116  1.5006577  -1.0417496  -0.48423356
  -1.189846   -1.0027474  -0.5601387   0.42591327 -1.6494346   2.8897066 ]]"
461,2,"[[ 0.40468508  1.323676   -1.6616273  -0.4860763  -1.1168926  -5.074438
  -0.5835314   1.0333819   0.8389109  -0.00817913 -0.5666867   1.7349893
  -0.12340206  2.437794    0.00579512  1.5322434  -1.0525552  -0.48724985
  -1.8487916  -0.63559264 -0.61220413 -0.25788122 -0.3137415   1.4667829 ]]"
462,2,"[[ 1.1328524   0.39214486 -2.2632782  -0.3510259  -1.1170098  -3.9965162
   0.54131556  0.60089946  2.1465478  -1.1431358   0.42071468  0.96862644
  -1.27443     1.3845052  -1.552813    0.75675917  0.5851463  -1.0915263
  -0.70765656 -0.8765885   0.5382112   0.7956775  -0.2696239   1.9752806 ]]"
463,2,"[[ 1.3926095   0.15320826 -0.98419756  0.05363022 -0.5247281  -3.1329758
  -0.50017726  1.9266164   1.2061791  -0.6425626  -0.10103475  1.1723335
  -1.0151478   0.9996312  -1.773574    0.96790475 -1.1889448  -0.8899075
  -0.23233259 -0.677702   -1.0824887   0.8967615  -1.1235708   0.9274248 ]]"
464,2,"[[ 0.9064348   0.32342827 -1.9923255  -0.93274826 -1.2128733  -4.2580543
  -0.35292804  0.32111615  2.1368332  -1.2659516   0.27023184  0.05665964
  -1.2720045   2.0254388  -0.75919     1.2009547   0.55614287 -0.26814675
  -0.3457821  -1.3870742   0.04628834  0.5604622  -0.44389737  2.163195  ]]"
465,2,"[[ 1.6238467   1.7406979  -2.2571485   1.4200673  -2.2405436  -5.051457
   0.4372715   1.1405032   1.8837999  -0.92992616 -0.45963755  0.3596692
  -0.54761744  1.8984267  -0.87551004  0.9716777  -0.36648282 -1.1356535
  -0.32648084 -1.3147364   0.8201529  -0.13201429 -0.0510931   1.5395806 ]]"
466,2,"[[-0.12084538  0.30935764 -2.3391767   0.40004754 -0.50234973 -4.093674
  -0.707832    2.1161458   1.5628453  -0.26548594  0.38554984  0.7308094
  -1.2283559   1.2879264  -1.4960192   0.7334568  -0.53985155 -0.58654433
  -0.61396974 -0.9640976   0.33985803  0.06902751 -0.6113683   1.4669214 ]]"
467,2,"[[ 8.9210171e-01  1.5732470e+00 -2.2659774e+00 -2.8343096e-01
  -1.5362421e+00 -3.9984093e+00 -8.4293360e-01  1.3686975e+00
   1.7442504e+00  2.9682344e-01  9.5881653e-01  1.3097881e+00
  -6.2107581e-01  8.8528132e-01 -8.8283700e-01  1.9306623e+00
  -1.0671971e+00 -9.8204613e-04  5.9207678e-02 -1.0071306e+00
  -1.8279180e-01 -1.1467971e-01 -1.0252192e+00  1.3828261e+00]]"
468,2,"[[ 1.4345772   0.09697855 -1.1441286  -0.17424121 -1.8070928  -4.245619
   0.56953883  1.512007    1.1881485  -0.13444418  0.25023115  0.2150988
  -1.4459963   1.9489157  -1.1037755   0.83150905 -0.49509472 -0.94261134
   0.1780861  -0.74899095 -0.38776135  0.6912068  -1.5801936   0.9440081 ]]"
469,2,"[[ 1.4181614   1.5061522  -1.1370881   0.68770367 -0.69032204 -5.220133
  -1.0663043   0.9478407   0.83100134 -0.86735404  0.4844596   1.0735477
  -0.67259794  1.1635778  -2.4840608   0.7754738   0.28176597 -1.4590899
  -1.1510098  -0.88220656 -1.1406822   1.1400796  -0.14108694 -0.05641103]]"
470,2,"[[ 1.6008041   1.2398789  -2.2653964  -0.5370879  -1.6635423  -4.649974
  -0.3540026   0.51910853  2.045949   -1.1219532  -0.8630072   1.4481529
  -0.14842999  0.65913856 -0.8473033   0.9090957   0.5545981  -1.4484184
  -1.9120771  -0.73006487 -0.3556644   0.3323732  -0.21030319  1.8729656 ]]"
471,2,"[[ 2.1070876   1.4883384  -2.522752    1.3986628  -0.8483058  -4.6607323
   0.06588584  0.87283975  2.342721   -0.8854809  -0.4569011   0.6766543
  -1.1493319   1.1158777  -2.0969028   1.2807364  -0.10307583 -0.7701981
  -0.35478228 -1.032324   -0.263446    1.2413787  -0.9185618   1.096556  ]]"
472,2,"[[ 0.94743925  0.6332496  -1.878395    0.32159033 -2.7646768  -4.713597
  -0.68755615  1.290155    1.0416665  -0.02231371  0.0632194   0.06400806
  -1.2208409   1.3170465  -2.875458    0.21832263 -0.5733092  -0.84698904
  -1.1142256  -1.2844404  -0.24188347  0.10571676 -0.97519135  1.0840662 ]]"
473,2,"[[ 1.1299671   0.40814665 -1.287549   -0.9490925  -2.125606   -4.9030313
   0.09323546  1.2950044   1.1836157  -0.15952241 -0.24236602  1.5583935
  -1.1169194   1.5803497  -0.84730387  1.623855   -0.70876116 -1.7318642
  -0.49841392 -0.67020816  0.3329075   0.0257159  -0.48280385  1.3350692 ]]"
474,2,"[[ 0.4246591  -0.28706157 -1.5484769  -0.4392923  -0.39313537 -3.5560453
  -1.0964493   0.7169453   1.6793007   0.35004675 -0.33118522  1.0438395
   0.2654047   1.4312882  -0.17594242  2.1065335  -0.7251016  -2.8015575
  -0.5212452  -0.6562129  -0.8328917   0.5058211  -0.33387628  1.4740417 ]]"
475,2,"[[ 1.0434123   0.33860797 -1.8218577   0.3050738  -0.27323055 -5.3727236
  -0.23325779  1.4524503   1.742439    0.4888245  -0.83958673  0.8592061
  -1.2943838   2.0131738  -2.9618468   1.6618843  -0.5463139  -0.8840143
  -0.74485546 -0.5116368  -0.08123481 -1.041942   -1.1510575   1.078048  ]]"
476,2,"[[ 0.16921884  0.8801474  -2.5706215  -0.21547353 -1.1885283  -4.414956
  -0.42376316  1.1239754   1.9515305  -0.36613512 -0.27078432  1.1519468
  -1.0349975   1.2552024  -1.1342266   1.6521895   0.01558283 -0.88588595
   0.5342703  -0.28124875  0.39522433  0.45325428 -1.4382029   2.525475  ]]"
477,2,"[[ 0.687939    0.98185277 -2.2163093   0.85013556 -1.7910376  -5.516124
  -0.18052246  0.3256544   1.1486925  -0.46316922 -0.21648082  1.5674454
  -1.0284882   1.8073354  -0.40065986  1.4594967  -0.9110385  -0.6768433
  -1.1704214  -1.0193727   0.48140156  0.07344398 -0.61604923  2.7989182 ]]"
478,2,"[[-0.04845083  1.0507026  -2.958033    0.5250803  -1.348805   -4.419196
  -0.25411534  1.5741313   1.0024533  -0.28427058 -1.2147845   1.8645167
  -0.6646789   1.1327868  -1.7094146   1.2438257  -0.43689212 -1.3037772
  -1.4768305  -1.0163199  -1.4759436  -0.11546825 -0.85737866  1.8479468 ]]"
479,2,"[[ 1.3300395   0.73098    -1.1199524   0.5595284  -2.0164454  -4.396048
  -0.4773903   2.2720346   0.907569    0.34290868 -1.402871    1.4211397
  -0.8246877   0.9414062  -1.2913927   2.2867007  -0.3074945  -0.23233247
  -1.2219489  -0.83470607 -0.21052995  0.5666485   0.12721151  0.8366477 ]]"
480,2,"[[ 1.1402829   1.0171859  -1.3413975  -0.82866573 -0.82418096 -4.8870516
  -0.92342925  2.058063    0.8314052   0.55222166 -1.5547603   0.9799162
  -0.6538271   0.85684603 -1.7549999   1.1958617   0.87386787 -1.1365076
   0.1239621  -0.8766133  -0.35176885  0.1707025  -0.3740674   0.7566036 ]]"
481,2,"[[ 1.123299    0.996995   -1.6780193  -0.3580631  -0.91684455 -4.2481356
   0.51286113 -0.35042262  1.2151747  -0.33413655  0.8217726   0.4451498
  -0.8704886   2.611552   -1.7625331   1.6467813   0.58760774 -1.8245206
  -0.97573566 -1.3061182  -0.5117341  -0.06771167 -0.20556593  1.9708245 ]]"
482,2,"[[ 1.6348858   0.91856176 -2.9733653   0.13902055 -2.0186894  -4.8769064
  -0.22626111  0.61574674  1.2957025  -1.708493    0.39058542  1.5452181
  -1.055109    1.3950499  -2.469591    1.2070966  -1.2237134  -0.942054
  -0.44800776 -0.9267891  -0.6888739   0.28924048 -0.45699358  2.9641414 ]]"
483,2,"[[ 1.841827    0.94432664 -1.884352    0.0452452  -1.3822784  -4.148577
   0.16278547  1.3139045   1.63456    -1.3205075  -0.7336513   1.4239337
  -0.2742603   2.033559   -2.131917    1.5248958  -0.08145571 -2.7633226
  -0.8614222  -0.5945071  -0.34060204  0.20693132 -1.0024517   1.3829201 ]]"
484,2,"[[ 0.5820152   1.2347615  -1.5866545  -0.68869936 -0.6695882  -4.210353
  -0.460919    1.0687401   1.1460876  -0.01008689 -0.19656609  0.55411565
  -1.2241299   0.7827023  -0.87403864  1.5618975  -0.16816752  0.0579766
  -1.4020338  -0.8809785  -0.99920094 -0.11129518 -0.6263256   1.1120799 ]]"
485,2,"[[ 1.2682881  -0.25544864 -1.4264892   0.0699444  -1.9457072  -3.9953399
  -0.2768663  -0.20959198  2.6297703  -0.5601731  -1.4518608   1.5229149
  -0.62765014  1.6120965  -0.9317581   1.6325821   0.546784   -1.4336299
  -1.0553312  -0.6733667  -0.05398464  1.2200104  -0.5311363   1.28327   ]]"
486,2,"[[ 0.41153008  1.4259973  -1.8494961  -1.3076582  -2.1401536  -3.7555184
   0.02266657  2.7084465   1.4210821  -0.22968891  0.55856615  0.35730404
  -0.6040662   0.96633184 -1.5699221   2.183576   -0.02080283 -1.2880632
  -0.15747166 -1.1317711  -0.69294465  0.4630372  -0.7216891   1.5531336 ]]"
487,2,"[[ 0.48997805  1.5832666  -2.6888835   0.94879687 -1.3545012  -4.414048
  -0.8694305   1.5265191   1.4677154  -0.81241184 -0.17629755  1.5610797
  -1.8608716   0.65173995 -0.4977883   1.8005716   0.20973852 -0.65803504
  -1.1636103   0.45485854  0.2576949  -0.6359285  -0.96074754  1.620903  ]]"
488,2,"[[ 0.41091186  0.5032561  -1.8927925   0.3360344  -1.5774708  -3.6071708
  -0.6249634   0.7941282   1.5308732   0.44454068 -0.46390647  1.0080116
  -0.57209027  0.32773447 -1.6720583   0.9591388  -0.8079338  -0.7162411
  -0.96556497 -0.8131845  -0.42971188 -0.37301975 -1.3029416   0.40050566]]"
489,2,"[[-0.44942474  0.18114802 -2.6215754  -0.9493066  -1.5514641  -4.415999
  -0.7278012   0.794526    1.4150864  -0.47285986 -0.9922827   0.33646238
  -0.79704815  0.9214139  -0.06871974  1.6312841   0.30083784 -1.0727879
  -0.25711071 -0.5300424  -0.5553567   0.6197762  -0.57460773  1.8528767 ]]"
490,2,"[[ 0.9017046   0.6255688  -2.4290621   0.11751077 -1.7815663  -4.2798457
   0.23139283  0.91767526  1.6481138   0.5538449  -1.0135452   0.73893386
  -0.19982153  2.54923    -1.0210311   0.6768142  -0.5418729  -0.68603766
  -0.5953188  -1.4806108   0.53692514 -0.55087906 -0.677354    2.2684243 ]]"
491,2,"[[ 0.9281427   0.5304504  -2.752301    1.0994668  -0.8146306  -4.463057
  -0.81879747  1.7517262   0.43024898 -0.48220602 -1.5459908  -0.22993493
  -0.18878782  1.0451393  -1.6517909   2.0585103  -0.6005014  -0.67889583
  -0.9424705  -1.0899745   0.14376333  0.08011948 -0.9285303   2.1848984 ]]"
492,2,"[[-0.04254383  1.1413547  -1.2766354   1.0838488  -1.3033581  -4.7606273
  -0.69177294  1.7833586   1.0355896  -0.9116706  -0.04557903  0.4165329
  -1.6312549   1.8106266  -1.9581295   2.520125    0.14376643 -0.7727808
  -0.8457769  -0.2710721  -1.211395   -0.3684194  -1.4366276   0.73611015]]"
493,2,"[[ 1.0699099   1.427267   -1.5130054  -0.19312002 -0.4790975  -3.4940052
   0.01937476  0.7026943   2.767508   -0.58184445 -0.04840755  1.3962638
  -1.3949072   0.70077187 -1.0696912   1.7648935   0.40653098 -2.0229418
  -0.36279917 -1.3028827  -0.88432175 -0.11284025 -0.34695593  1.3304344 ]]"
494,2,"[[ 0.10901076 -0.2665105  -2.5940158   0.48926818 -1.4141706  -4.5403757
   0.12934971  1.805939    0.74385625 -0.27733976 -0.5426028   1.7057691
   0.3989722   1.6837434  -1.2855704   1.3374736  -0.6168751  -0.844648
  -0.16270906 -1.1248306  -0.6363792   0.16667134 -0.8262728   1.4192587 ]]"
495,2,"[[ 1.1385723   0.47102797 -1.5627687   0.34022582 -1.5572004  -4.8846745
  -0.4246155   0.64715147  1.1330229  -0.72468126 -0.46134943  0.6833559
  -0.7615663   2.0300474  -0.7640469   1.3580208  -1.2756171  -1.6313016
   0.11516011 -0.9001032  -0.7565855  -1.4462675  -0.17927855  1.1571459 ]]"
496,2,"[[ 1.1492201   1.3169389  -2.2153163   0.11896642 -1.4116584  -5.319133
  -0.870345    0.97033864  1.8368081  -0.3291945   0.44532585  0.8166921
  -0.8943757   0.70990306 -1.787501    1.230949   -0.15611468 -1.2616442
  -0.50914824  0.80877197  0.44051093  0.19054528 -0.4494425   1.7908466 ]]"
497,2,"[[ 0.882752    0.3902488  -1.2233977  -0.03522653 -0.21973628 -5.0471063
  -0.9954964   0.5657301   1.7451451  -1.1280994   0.0795784   0.5308994
  -1.3254429   2.2148676  -2.1672091   0.59046537 -0.37689653 -1.149537
  -0.23915532 -1.9874468  -0.28136647  0.07008156 -0.26375085  1.4994918 ]]"
498,2,"[[ 1.0328114   0.56290996 -1.8600461  -0.71523166 -1.3741562  -4.93493
   0.37886357  1.2140957   1.2732072  -1.3385499   0.06096363  1.7101154
  -0.64714545  0.8195153  -1.2940457   1.2250118  -0.5372093  -0.58923817
   0.10601807 -1.0610275  -1.6098067   0.40499872 -1.1669934   0.4454255 ]]"
499,2,"[[ 1.1250998   1.1589179  -2.138452   -1.5019685  -1.4897329  -3.882308
   0.2789054   0.83985126  1.9811392   0.14331257  0.18561284  0.8290606
  -0.55971044 -0.5613668  -0.328741    1.7098529   0.636522   -0.94826746
  -1.2341297  -1.0023329  -0.8448518  -0.44592687 -1.2132388   1.9011961 ]]"
500,2,"[[ 0.85883915  0.891274   -2.137477    0.65364534 -1.1731241  -3.7527864
  -0.41673118  0.9014293   2.209171    0.7388811  -0.7848908   1.7303787
  -0.24790889  2.0231817  -0.6349111   1.1404532  -1.675679   -0.6027866
  -0.26200718 -1.0934578  -0.06349769  0.6724045  -0.4746165   1.3033586 ]]"
501,2,"[[ 0.9928765   1.2758882  -1.6278569  -0.19427    -1.8520026  -4.322578
  -0.9959825   0.8530285   2.0307422  -0.7916885  -0.21999954  0.7159139
  -1.2495755   2.3963194  -0.42799056  1.0751152  -0.06009188 -1.2513745
  -0.9092514  -0.52812564  0.01798034  0.23249502 -0.25202322  0.8625315 ]]"
502,2,"[[ 0.84301084  1.0496259  -2.709978   -0.41394222 -1.3783513  -4.6062202
  -0.72375965  1.8700635   2.3959386  -0.24373855  0.4887696   0.810792
  -0.7255524   0.71502775 -1.5396948   0.92266154 -0.17710353 -2.0174026
  -1.8218684  -0.36499172  0.8028335  -1.0464866  -1.6575898   2.603961  ]]"
503,2,"[[ 0.5654575   0.7005413  -1.5220816   0.19827586 -1.0536064  -3.9231343
  -0.70908725  1.8455799   1.4918519  -1.2782431  -0.99408394  0.467313
  -1.9077125   1.33403    -1.2119051   2.5128083  -1.2949942  -1.1933421
  -1.2401158  -0.90803456 -0.91515565  0.08451405 -1.0981067   1.6326736 ]]"
504,2,"[[ 1.3754785   1.2430458  -0.8027537  -0.9703126  -0.57014453 -4.352559
  -0.05564196  1.2647766   0.5164633  -1.5281003  -0.00656594  0.8602761
  -1.0796047  -0.31694114 -2.0805848   1.6143028  -0.7601816  -1.4417214
  -1.0536171  -1.4455547  -1.08728    -0.19837862  0.00950539  1.0249553 ]]"
505,2,"[[ 0.8801027   1.4321249  -1.0967245  -0.25626057 -1.2611282  -4.105475
  -0.35360968  1.7867777   1.9210477  -0.01521111 -0.3822561   1.3728412
  -1.297792    1.5877205  -0.79912996  0.93889564 -0.9218339   0.24730635
  -0.56486    -1.7473696  -0.771327    0.8599199  -1.0582224   0.49685645]]"
506,2,"[[ 0.94053274  0.66069186 -2.065048   -0.15560879 -1.7936435  -4.0648065
  -0.56664234  0.2161277   2.1402874   0.07858118  0.53821456  2.0392077
  -0.15519059  1.22535    -2.4955688   1.195406   -0.31635562 -0.24111503
  -0.9835347   0.14907902 -1.1380131   0.8718011  -1.0959448   0.64530027]]"
507,2,"[[ 0.98513174  0.4241811  -2.4646246   0.4254822  -1.1958365  -3.8894544
  -0.1519727   0.16097575  2.211701   -0.43807703 -1.1188539   0.8094891
  -0.56490433  1.6104748  -2.2429278   1.5327793   0.3283939  -0.7703146
  -1.2601002  -0.4443932  -1.4775629   0.58112854 -0.6426974   0.9015369 ]]"
508,2,"[[ 0.78928375  1.6955085  -1.2000926  -0.8901468  -0.07413888 -4.169472
  -1.0407287   1.0704232   1.0101111  -1.0978613   0.20242609 -0.21877027
  -0.66097945  1.6540245  -1.6010419   1.0850551  -0.4369966  -0.51436603
  -1.372114   -0.20918936 -0.4821313  -1.0029802  -0.61555946  1.1326963 ]]"
509,2,"[[ 1.1710848   1.2854427  -1.2292368   0.2561823  -0.57986313 -4.0946674
  -0.01687235  0.7964788   0.75334287 -0.08528823 -0.71940243  0.4216599
  -1.2650968   1.7606705  -0.83211935  1.3300853  -0.15589002 -0.1599496
  -1.7894609  -0.23958433  0.49539512 -0.97289026  0.05530447  1.8848104 ]]"
510,2,"[[ 0.55221784  0.6682075  -2.203106    0.39788628 -1.0147051  -3.9837248
  -0.25595945  0.64468515  2.6167245  -0.40489656 -0.73449874  0.999058
  -1.0940145   0.4100194  -2.126434    0.87876785 -0.39456394  0.21149302
  -0.27619094 -1.300847    0.8160039   1.0764862  -0.30187055  1.8110483 ]]"
511,2,"[[ 0.7053503   0.05903137 -2.6134267  -0.7964703  -0.68412656 -4.851718
  -0.42884982  0.05716246  2.2662728  -0.27105677  0.2989431   0.37549162
  -1.3986895   1.4325596  -2.0199249   1.5205564  -0.32053366 -1.438837
  -0.4923725  -1.5045749  -0.9785908  -1.1109219  -0.8772626   1.1818134 ]]"
512,2,"[[ 0.8364002   0.772051   -1.6263609  -0.3481315  -1.2418605  -4.5156155
  -0.475069    0.8369724   1.8719616   0.36338612  1.2548671   0.9954864
  -0.99638325  0.9099533  -1.7712061   1.1380334   0.06570682 -1.8253317
  -0.4914711  -0.6093646  -0.11095306  0.00984098 -0.9194235   1.3078825 ]]"
513,2,"[[ 0.72848934  0.38067612 -1.9037555   0.09046605 -1.2288239  -4.3829737
  -1.0463943   0.9600119   1.809701   -0.41938654  1.4393736   0.2810855
  -0.31404164  0.7432697  -2.5554075   2.032917   -0.27502465 -1.0934787
  -0.45679045 -0.9143584  -0.11744523  0.07478053 -1.0837269   1.9592118 ]]"
514,2,"[[ 0.3152249   0.792104   -1.939707   -0.34976014 -0.641156   -3.5083303
  -0.03417537  2.1861382   2.5883157  -0.6662574  -0.02661271  1.236784
  -0.19423676  1.1852326  -1.2935681   1.7409409  -0.02628273 -1.4384564
  -0.6031669  -0.581528   -0.71620023  0.3164317  -0.92688406  0.62909174]]"
515,2,"[[ 0.7934551   0.47535974 -0.58689535 -0.43661183 -1.0124243  -3.7974496
   0.5590844   1.0601995   1.8743734  -0.11503884 -0.11843304  0.54195
  -0.80775195  0.18342018  0.02235234  1.507498   -1.1691989  -0.8765673
   0.01209956 -0.73092145  0.42764318 -0.06755616 -0.32509062  1.6896915 ]]"
516,2,"[[ 0.20029455  0.35882854 -1.5276033  -0.6723501  -0.80000514 -4.216763
   0.41715026  1.3961252   1.4452097  -0.12621352  0.58932287  1.6404941
  -0.22218037  0.93198913 -1.5081635   1.2345705  -0.5691684  -0.9163417
  -1.4862864  -1.5126802   0.24568307 -0.25251257 -0.23634353  1.3477184 ]]"
517,2,"[[ 0.88258684 -0.23634207 -1.8675513   0.59597623 -1.1159326  -3.8349977
  -0.840893    0.5788001   1.6859629  -0.35888547 -0.66105306  0.16219467
  -0.3056897   1.8058677  -0.73724765  1.2526412   0.19897565 -0.84411246
   0.09958845 -1.215817   -0.6931765   0.10429279 -0.98340195  1.3651317 ]]"
518,2,"[[ 1.3792572e+00  1.9948640e-01 -1.3643315e+00  5.8547735e-01
  -8.6354291e-01 -3.8349130e+00 -1.1529893e+00  1.0867572e+00
   1.7363955e+00  9.3103349e-02 -3.4240788e-01  5.1533771e-01
  -1.3519198e+00  1.6945443e+00 -1.7543198e+00  7.6970941e-01
  -1.8882751e-03 -1.0322180e+00 -6.7481798e-01 -9.0760249e-01
  -3.5937896e-01 -1.8215045e-02  1.3224828e-01  2.1421950e+00]]"
519,2,"[[ 1.1219451   1.4660785  -0.17262089 -0.83906    -0.35090804 -3.4623854
  -0.18766135  0.6219044   1.4517179  -0.3774435  -0.01599506  1.3043884
  -0.60338664  1.6761267  -1.2382671   1.4240844  -1.1579232  -0.4691158
  -0.89615667 -1.4056338  -0.4693482  -0.23881535 -1.4345069  -0.07902598]]"
520,2,"[[ 0.7044148   1.0828884  -1.6888528   0.09243621 -0.2647208  -5.120575
   0.46286434  0.71663547  1.8864406   0.41506907  0.3882836   0.57308227
  -0.55294967  0.9535229  -0.6630829   1.2836429  -0.11178416 -0.6596111
  -0.9488437  -0.8899255  -0.6532974  -0.20588249 -0.47979352  0.5515313 ]]"
521,2,"[[ 1.313149   -0.27026302 -2.3305736  -0.14799924 -0.8550428  -4.9639864
  -0.35307735  1.5655519   1.9776351  -1.029951   -1.092675    0.546522
  -0.49193725  0.8595149  -2.8231893   2.1303515   0.21352386 -1.3966256
  -1.9862895  -0.72810775  0.0444926   0.16305593 -0.7017076   1.3970057 ]]"
522,2,"[[ 1.2351264   1.2575282  -1.783407    0.06052643 -1.408134   -4.254545
  -0.5371059   2.440658    1.2623532  -1.0921346  -0.54639596  0.5164145
  -0.07260889  1.2050676  -1.7978239   1.5961708  -0.6604302  -0.19178706
  -0.2374728  -0.8392177  -0.90221554  1.0739325  -0.3200144   1.8663161 ]]"
523,2,"[[ 1.0294783   0.35297814 -1.7572877  -0.15143356 -1.9826138  -3.6790552
  -0.42138153  2.4023767   0.9316196  -0.12822685  1.3128722   1.5663111
  -0.45934108  0.9087695  -2.5958269   2.1075335   0.12369657 -0.833799
  -0.3343821  -1.1546288  -0.11772206  1.2455744  -1.3732054   0.923694  ]]"
524,2,"[[ 1.7678668   1.0061785  -2.8303177   0.29014212 -1.6704924  -4.76607
  -0.04298934  1.7337414   1.5587398   0.09473482  0.8177877   0.60425603
  -1.1444806   3.1539345  -1.206059    2.4354577  -0.0670633  -0.6132445
  -1.2164052  -0.36669397 -0.70806974 -0.5192068  -1.0745405   1.9427234 ]]"
525,2,"[[-0.2279315   0.52681476 -1.1027098   0.60342747 -1.2916021  -3.726622
  -1.1567467   1.4960737   1.4797363  -0.69130695  0.56018555  0.931344
  -0.37410557  1.5721003  -0.96981865  2.0582213  -0.8494241   0.25238502
  -0.10839647 -0.7919519  -0.29516554  1.35002     0.2254268   1.8009129 ]]"
526,2,"[[ 1.7510796  -0.28513008 -2.754529   -0.02743918 -1.1305768  -5.107112
  -0.975001    1.4241126   0.8382239  -0.96303916 -0.27867502  0.7986376
  -1.22737     0.55725586 -0.5538443   2.171124   -0.7061461  -0.79959303
  -0.40414336 -0.22229517 -0.02095175 -0.04061323 -1.658951    1.5618836 ]]"
527,2,"[[ 0.747319    1.0364377  -1.7496533   0.79278576 -0.4047624  -4.4909015
  -0.42642498  1.694067    0.9606844  -1.560077   -1.1071886   0.7027099
  -2.0262024   1.8347853  -0.43330985  2.5245152  -0.7082344  -0.17064834
  -1.1590112   0.03063715 -0.4285881   0.00517468 -0.0571515   0.9538201 ]]"
528,2,"[[ 0.6914272  -0.38568777 -2.368721    0.29662582 -1.3427273  -4.9239726
   0.47347385  2.1063776   1.0347071  -0.86440563  0.13700674  1.2623687
  -1.4420153   1.72226    -0.02031672  1.4650363   0.07486242 -1.1656655
   0.02035296 -0.44513443  0.2863898   1.3807545  -1.4206709   1.4018648 ]]"
529,2,"[[ 0.3711412   0.75509113 -2.8921533   0.15338328 -0.11958909 -4.208199
   0.2929231   2.1844087   0.68087614 -0.20681807 -0.29536897  1.2122005
  -0.59721595  0.97861505 -2.1904988   0.9201857   0.10312432 -0.4671626
  -1.2880695  -0.43099093 -0.46564555 -0.8658455  -0.9417587   1.8859755 ]]"
530,2,"[[ 0.53270054  0.661353   -0.9759052   0.963669   -1.0762688  -4.267534
  -0.73592854  1.4203079   0.12551546 -1.3341686  -0.64610565  1.7052147
  -0.6892848   2.2893531  -2.130425    1.723305    0.05132121 -0.88890254
  -0.35493582 -0.12020314  0.35181412  0.42924008 -0.6414088   1.1722836 ]]"
531,2,"[[ 0.6469979   0.3717904  -1.9574647  -0.77506167 -0.97524893 -4.0940213
  -1.0387065   1.1047382   1.8105153  -1.0863476  -0.05129002  0.8165471
  -0.5866395   1.10378     0.52873385  1.0220795  -1.3412926  -0.29992288
  -1.0694565  -1.2270074  -1.3680822   0.85837495 -0.5876345   0.7349321 ]]"
532,2,"[[ 0.62363446  0.6977168  -2.204898    0.3881851  -1.8881074  -5.0111747
   0.36064112  0.78928554  0.6630305   0.36382097 -0.6980561   0.8683895
  -0.40356484  1.4043082  -2.0718458   1.6485409  -0.40320832 -1.4126159
  -0.6835915  -0.417289    0.41550756  0.46764678 -0.8057459   1.6620727 ]]"
533,2,"[[ 0.44650716  0.9870794  -1.9921961   1.3186895  -2.6238165  -4.861037
  -0.07784842  1.6999004   1.9794164  -0.5931308  -0.4779142   0.2582829
  -1.0700668   1.2157063  -1.6243452   2.6654143  -0.5495703  -1.3555682
  -1.1215675  -0.6176443  -0.73005     0.19027282 -1.6361223   0.9795536 ]]"
534,2,"[[ 1.2149861   0.18202552 -1.4860518  -0.41200924 -0.20724815 -3.600467
  -0.9889075   1.1860585   1.3967283  -0.8652172   0.19443662  1.0740535
  -0.87150466  1.1718884  -0.18187356  1.2980785  -1.6449219  -1.1069688
  -0.41987848 -1.110363   -0.5532073  -0.22009166 -0.15596282  1.3836081 ]]"
535,2,"[[ 1.445049    1.3904054  -1.1365691   0.20135579 -2.0563776  -5.274737
  -0.09264414  1.0321027   0.47460794  0.32584918  0.71138406  1.0483288
  -0.7823546   1.9849422  -1.848801    1.2189512  -0.46673486 -1.9673958
  -1.1593453  -0.47318816 -0.2767709   0.6138017  -0.4938345   1.2242398 ]]"
