Episode,Timestep,Action
31,2,"[[ 0.84041065  0.24721968 -2.4766927   0.54879826 -1.1238755  -4.521614
  -0.58014786  0.910664    2.725762    0.36963654 -1.0371      1.5463383
  -1.9969261   2.0601616  -2.0030048   1.5851868  -1.4988449  -0.7864714
  -0.00930399 -0.54287016  0.2526877   0.37128904 -0.72089666  1.1806015 ]]"
32,2,"[[ 0.464233    0.8022601  -1.2814994   0.18057902 -1.9687444  -4.3115597
   0.09521076  1.2017401   1.3098271  -1.0789258  -1.2415602   0.24765563
  -0.17780316  0.6223844  -1.4453162   2.1411362  -0.36053133 -1.265824
  -0.21275192 -0.94564444  0.13442269  0.46029115 -0.9175137   1.9098756 ]]"
33,2,"[[ 1.1160424   1.019882   -2.1283684   1.2369442  -1.5615358  -4.3086925
  -1.3207443  -0.12391794  0.4666382  -0.14636728  0.19244295  0.61247706
  -0.7968261   0.70263886 -0.8398669   2.5744317  -0.7091364  -0.81530654
  -0.60406685 -1.2321594  -0.5837852   0.26913744 -0.3781362   0.1998415 ]]"
34,2,"[[ 0.83912605  0.20891404 -1.57955     0.28736258 -1.4660742  -5.275005
  -0.7024876   1.8843731   2.5999837  -0.2274279  -0.88510644  0.53671384
  -1.085463    1.078939   -1.2487533   1.5781478  -1.4320973   0.30212104
  -1.3591394  -0.760465   -0.43131116  1.3604958  -0.12639701  2.0681074 ]]"
35,2,"[[ 1.0372025   1.1240337  -1.733049   -0.72828954 -2.1685452  -5.183824
  -0.5251884   2.135013    2.1712103  -1.0607121  -0.3271662   1.5240502
  -0.2441299   0.6777783  -0.03784275  1.4811645  -0.3752035  -1.105855
  -0.73206615 -1.461315    0.33798814 -0.1767902  -0.31019258  2.6219783 ]]"
36,2,"[[ 1.2766039   0.40821296 -2.7403927  -0.01154889 -0.679339   -4.2267246
  -0.35802242  0.6435536   0.5977076   0.17898399  0.5041785   0.42980027
  -0.9304354   1.7465197  -0.801929    1.5967065  -0.19794062 -0.7935702
  -0.9388541  -1.6514401   0.34055632 -0.15105927 -0.8240158   1.3423027 ]]"
37,2,"[[ 0.06338435  1.6918433  -2.3288052  -1.0908498  -0.68348527 -5.0544415
   0.2588357   1.0516417   1.6487709  -1.0830376  -0.21564727  0.37613887
  -0.8134711   1.4665545  -0.41848743  1.2047458  -0.4855991  -1.8277422
  -0.64953095 -0.85434943 -0.38851267  0.6438151   0.20705742  1.309872  ]]"
38,2,"[[ 0.9894812  -0.31395435 -2.7048693   0.0645773  -0.8946437  -4.5211735
  -0.1592957   1.6622667   2.305953    0.73153025 -0.45816115  0.7377703
  -0.8289615   0.9905465  -2.449444    2.113061   -0.8028444  -2.3110297
  -0.84598    -1.2478731  -0.20212245  0.9236003   0.05751359  0.5049741 ]]"
39,2,"[[ 0.959331   -0.04727745 -3.8830254   0.5096201  -2.3850865  -4.506045
  -0.9900113   0.23201245  1.6971387  -1.3483195  -0.8229821   2.1587481
   0.56723464  0.39491773 -1.5582871   0.71113783  0.42057633 -0.19340593
  -1.204842   -1.4094498  -1.0510141   0.70671713 -0.6742347   2.6178794 ]]"
40,2,"[[ 0.16091508 -0.21143174 -2.397895   -0.1672669  -2.0663388  -4.3305354
   0.33738235  1.0075182   1.8117605  -1.2482369   1.3983804   0.53665817
  -1.7880301   2.2084904  -0.7966915   1.7615131  -0.7300799  -0.84964466
  -0.16862941 -0.94053435 -0.7925067   0.08792949 -0.52815396  2.2296338 ]]"
41,2,"[[ 0.6913448  -0.05134666 -1.741217    0.6173038  -0.8850873  -3.9695807
  -0.12998272  1.4506928   1.497665   -0.48522443  0.13071543 -0.11969614
   0.08248049  2.615075   -3.015353    1.9039056  -0.24403928 -0.45430964
  -2.1298957  -1.5192435  -0.03240953  0.34769803 -1.1326466   0.44845676]]"
42,2,"[[ 0.66663694  1.1400781  -2.5521507  -1.2604595  -1.3494084  -4.6279345
  -1.1643806   1.5158135   1.668227   -0.46013755  0.3598042   1.0217131
  -0.53675115  0.8935778  -1.5715044   1.7700016  -0.5948715  -0.34346628
  -1.15297    -1.6254089  -0.85804266  0.781865   -0.16280326  3.2342854 ]]"
43,2,"[[ 0.36305135  0.3400979  -0.73457146  0.654842   -0.8892592  -4.039795
  -0.14677085  2.135175    1.1931689  -0.45460743  0.72680545  0.57652825
  -0.34179577  0.77941704 -1.928309    1.363342   -1.4313084  -0.8386624
  -1.8123162  -2.0916305  -0.38965666 -0.22217266 -0.9341713   0.49438632]]"
44,2,"[[ 0.58667    -0.41963547 -0.640679   -0.31579897 -2.094444   -4.4338284
  -0.28083178  1.2065078   1.6932573  -0.43091393 -0.24558264  1.3147606
  -1.8011212   0.8439951  -1.1343355   2.2223105  -0.14200577 -1.6243196
   0.08384341 -1.0411525  -0.15691727 -0.32543856 -0.83977056  1.6418574 ]]"
45,2,"[[ 0.6861346   0.9084761  -2.468099   -0.39202508 -1.5361342  -4.5344043
  -0.35451636  1.2284423   2.3587108  -0.4940915   0.81936955  0.58921194
  -1.4267913   1.99576    -0.26131868  0.27571893 -0.76311874 -0.45340705
  -0.7917429  -0.79161817 -1.0971742   0.29556498 -0.31907982  0.88993675]]"
46,2,"[[ 0.97740746  2.0692482  -1.7142091  -0.40664366 -0.8411526  -4.5752115
   0.07945085  1.2820909   1.6797624  -0.6772162   0.47154233  0.6256921
  -0.33571306  1.8110602  -0.73013276  1.9407518  -0.6896044  -0.9685128
  -0.47005996 -1.4231122   0.23910424  0.48778075 -0.7637432   1.2723569 ]]"
47,2,"[[ 0.77082545  1.3104746  -2.838653    0.09582458 -1.0537121  -4.270885
  -0.27365375  1.6593935   1.2951531  -1.1265163  -0.39943904  2.4162548
  -0.72120345  2.2019699  -1.6764426   1.3089609  -0.34666324 -0.9776465
  -0.7191535  -0.9781225  -0.5594483   1.1943302  -1.0792783   2.5600185 ]]"
48,2,"[[ 0.5650924   1.0822358  -1.6357347   0.34167236 -0.87709755 -4.8711925
  -0.8884253   1.2997923   1.8844142  -0.20962071 -0.9543148   0.58026654
  -0.87080306  0.73293227 -1.941021    1.4146891  -1.2356387  -1.3684448
  -0.73003113 -0.2890703   0.1983788  -0.66578394 -0.90043783  1.4384592 ]]"
49,2,"[[ 1.2841301   0.25912148 -1.454106    0.25816295 -1.3721237  -4.2026963
  -0.9279808  -0.37302172  1.7354263  -0.7094876   0.07225162  1.0050215
  -0.90603036  2.1980953  -2.517791    2.0501015   1.1038787  -1.0202863
  -1.4022484  -1.9537048  -0.21168886 -0.06900182 -1.0140567   1.2793217 ]]"
50,2,"[[ 1.6117866   0.7217829  -1.9228904  -0.6815635  -1.2479755  -3.6375992
   0.3833977   2.330603    1.9417152   0.01727343  1.1074331   1.0738235
  -0.56982064  2.235293   -2.985098    0.80543464 -1.6827248  -1.20235
  -0.6840721  -1.1863925  -0.45273173 -0.30132276 -0.3155446   1.8938171 ]]"
51,2,"[[ 0.8898742   0.843496   -1.595889    1.235547   -1.2302145  -5.315261
   0.10325992  0.91218436  0.9656675  -0.41527903  0.02128479  0.3110376
  -0.92228717  0.56069654 -1.7467355   2.4016569  -0.13971615 -2.095893
  -0.6104604  -0.7459218  -0.55328816  0.3287346  -0.19766828  1.4809917 ]]"
52,2,"[[ 0.5079459   1.0344414  -2.2328532   0.41762435  0.42133307 -4.819072
  -0.44879308  1.5961583   2.3023067  -0.8814903   0.8526416   1.3216747
  -0.47146443  0.81861895 -2.237342    0.9865019  -1.9893149  -1.1524442
  -0.37288377 -0.24280304 -0.04269591  1.0049179  -0.94533724  2.7840247 ]]"
53,2,"[[ 0.8601363  -0.10878849 -1.5166898   0.37799752 -0.8619752  -4.537128
  -0.45004046  1.1893162   1.7658523   0.41784805 -0.5863602   0.01102805
  -0.611639    1.2402182  -1.3155401   1.9788396  -0.506038   -0.40166205
   0.03114438 -1.2894593   0.43440732  0.6055863  -0.68361825  1.2361716 ]]"
54,2,"[[ 1.0561152   0.7187389  -1.710225    0.54425615 -1.5430783  -4.0341578
  -1.0965763   1.4477508   1.6242888  -1.0900543  -0.91147345  1.1185182
  -1.0005547   1.617426   -2.0244827   2.298794   -1.0369096  -0.6388983
  -1.2512528  -0.6387623  -0.311883   -0.81354535 -0.22860995  2.0620754 ]]"
55,2,"[[ 1.299366    0.67793036 -2.6593094  -0.45657608 -2.1381054  -3.8415697
  -0.10344726  1.5933859   2.043114   -0.43209332 -0.7381716   0.9351922
  -0.92723787  1.2225468  -0.82031107  1.8458152   0.16177654 -1.4872651
  -1.1150565  -1.543833   -0.70008683 -0.17508307 -1.5668454   1.1352853 ]]"
56,2,"[[ 0.08143729  0.27810144 -2.026988    0.32987368 -0.71595764 -4.579127
   0.43054822  1.9263635   1.9675214  -0.85932493 -0.51606554  1.1387004
  -1.0154469   2.325417   -1.4148074   1.1370978  -0.11478913 -1.693829
  -1.7748592  -0.8105224  -0.711617    0.76427436 -0.50107443  1.0919862 ]]"
57,2,"[[ 0.8952116   0.3606177  -1.8977317   0.43456024 -0.9240255  -3.7522976
  -1.3637726   1.5301917   1.1980486   0.28012568 -0.23483074  0.69749606
  -1.328231    2.731319   -0.4257722   2.0321975  -0.7561086  -0.47281635
   0.5327645  -1.2775959   0.7204284   2.0888014  -1.1690397   2.1615088 ]]"
